Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,Production House,Netflix Link,IMDb Link,Summary,IMDb Votes,Image,Poster,TMDb Trailer,Trailer Site
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Comedy Programmes,Romantic TV Comedies,Horror Programmes,Thai TV Programmes","Swedish, Spanish",Series,4.3,Thailand,< 30 minutes,Tomas Alfredson,John Ajvide Lindqvist,"Lina Leandersson, Kåre Hedebrant, Per Ragnar, Henrik Dahl",R,7.9,98.0,82.0,74.0,57.0,2122065.0,2008-12-12,2021-03-04,"Canal+, Sandrew Metronome",https://www.netflix.com/watch/81415947,https://www.imdb.com/title/tt1139797,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",205926.0,https://occ-0-4708-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmgLCxN8dNahdY2kgd1hhcL2a6XrE92x24Bx5h6JFUvH5zMrv6lFWl_aWMt33b6DHvkgsUeDx_8Q1rmopwT3fuF8Rq3S1hrkvFf3uzVv2sb3zrtU-LM1Zy1FfrAKD3nKNyA_RQWrmw.jpg?r=cd0,https://m.media-amazon.com/images/M/MV5BOWM4NTY2NTMtZDZlZS00NTgyLWEzZDMtODE3ZGI1MzI3ZmU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,https://www.youtube.com/watch?v=LqB6XJix-dM,YouTube
Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Bob Kane, Jerry Robinson, Bill Finger, Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",R,8.4,68.0,59.0,112.0,228.0,335451311.0,2019-10-04,2021-03-03,"Bron Studios, Creative Wealth Media Finance, DC Comics",https://www.netflix.com/watch/81382215,https://www.imdb.com/title/tt7286456,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",951938.0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeslXp6h2-qkqlqXUU569-RwKdu37HSTPQTjzxVn1KnoCC5BHf1MPTD_fsTI5XkMR2gns_TRHNpt74or_hV6OfPtHg.jpg?r=ce4,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=t433PEQGErc,YouTube
I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",PG,6.5,52.0,51.0,26.0,69.0,474544677.0,1999-05-19,2021-03-03,Lucasfilm Ltd.,https://www.netflix.com/watch/81382114,https://www.imdb.com/title/tt0120915,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,733336.0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSRslzvcxZlMteszOYTpkvInxwXS5crWhEcHEvBD5Toybfj6KivkEIOJaAXvqDh3VCwvigHiF8dzdH3Y0Scgt3q5TA.jpg?r=619,https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,https://www.youtube.com/watch?v=bD7bpG-zDJQ,YouTube
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Ralph Fiennes, Alan Rickman, Michael Gambon",PG-13,8.1,96.0,85.0,46.0,94.0,381409310.0,2011-07-15,2021-03-03,"Heyday Films, Moving Picture Company, Warner Bros.",https://www.netflix.com/watch/81382102,https://www.imdb.com/title/tt1201607,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",766594.0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGQymPz2RK3LajCem7mtwGhaN1dwRFEt2WgL6lUac9dEyOap0uL3k8zw4nlMhJfXJZ9usVahLUcE1BS5sHvzYt8-g.jpg?r=144,https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,https://www.youtube.com/watch?v=5NYt1qirBWg,YouTube
The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,South Korea,1-2 hour,Francis Veber,Francis Veber,"Daniel Auteuil, Thierry Lhermitte, Michèle Laroque, Gérard Depardieu",R,7.0,85.0,72.0,1.0,1.0,6678894.0,2001-08-10,2021-03-01,"Miramax, Gaumont",https://www.netflix.com/watch/81405032,https://www.imdb.com/title/tt0243493,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,16657.0,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQSpoTkZ1zFLtdAsNOUvkFxbwJdOqu7TjHJpnSWYWSEhRWZCaeKv8b9icqqFr1vJFPCC6973kAxhK9pXRN659mkFA.jpg?r=fab,https://m.media-amazon.com/images/M/MV5BMGRmNzFhNWEtYTgxZS00Y2Q2LTg0MjAtMTdlYTFjNjUyMDRhXkEyXkFqcGdeQXVyMjc2NTQ1MTI@._V1_SX300.jpg,https://www.youtube.com/watch?v=ou9YG0fUztA,YouTube
Alice,"Comedy, Romance","TV Mysteries,TV Dramas,Korean TV Shows,TV Thrillers,Futuristic Sci-Fi,Sci-Fi TV","English, Cantonese",Series,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Germany,Singapore,Turkey,Romania,Israel,United Kingdom,Australia,India,Russia,Iceland,Switzerland",< 30 minutes,Woody Allen,Woody Allen,"William Hurt, June Squibb, Joe Mantegna, Mia Farrow",PG-13,6.6,75.0,67.0,1.0,7.0,7331647.0,1991-01-10,2021-03-01,Orion Pictures,https://www.netflix.com/watch/81404896,https://www.imdb.com/title/tt0099012,"While investigating a string of murders, a detective is stunned to encounter time travelers — especially a professor whos a dead ringer for his mother.",13379.0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfpyqmFt6PbP6nm5lFwzNaBp7bt4A8b7uU_Po4qBl1UhcjCYWYT6cLw0_8BnuIPn8c0kibprpU9esUKVwDxewapuKA.jpg?r=751,https://m.media-amazon.com/images/M/MV5BNDQ4YzdmY2MtYzkwOS00Njk5LWI5MWUtNGQ0NzVhODIxYzkwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,https://www.youtube.com/watch?v=PTaNF7k85gk,YouTube
Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,South Korea,1-2 hour,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",R,7.7,89.0,86.0,19.0,14.0,54766923.0,1980-09-19,2021-02-28,"Paramount Pictures, Wildwood Enterprises",https://www.netflix.com/watch/81388042,https://www.imdb.com/title/tt0081283,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",47265.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXmZsvgOX6yQRCwO5iMcvEk8ujsYjo0vxl9JDrfuvOioX9GXMUI0ZzZK0SMzHk4Aah8DRjlulbRz_g-w79dPP1ZTjg.jpg?r=692,https://m.media-amazon.com/images/M/MV5BNWU3MDFkYWQtMWQ5YS00YTcwLThmNDItODY4OWE2ZTdhZmIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,https://www.youtube.com/watch?v=BdjlLq1tqmU,YouTube
Stand by Me,"Adventure, Drama","Korean Movies,Dramas",English,Movie,4.1,South Korea,1-2 hour,Rob Reiner,"Bruce A. Evans, Raynold Gideon, Stephen King","Wil Wheaton, River Phoenix, Jerry O'Connell, Corey Feldman",R,8.1,91.0,75.0,5.0,11.0,52287414.0,1986-08-22,2021-02-28,Columbia Pictures Corporation,https://www.netflix.com/watch/80995482,https://www.imdb.com/title/tt0092005,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",364302.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVNAU9zADP6kFOJMxgxFyflhRLUuPsyYlmOr4DfuPddc2iwwkE1kDGj67yw-SA29fsZgLe5vyTqe2pmp0vRMu45ITw.jpg?r=d05,https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,https://www.youtube.com/watch?v=KCxBHM17y-4,YouTube
Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,South Korea,1-2 hour,Todd Haynes,Brian Selznick,"Millicent Simmonds, Cory Michael Smith, James Urbaniak, Julianne Moore",PG,6.2,68.0,71.0,1.0,33.0,1060377.0,2017-10-20,2021-02-28,"Picrow, Amazon Studios, Cinetic Media, FilmNation Entertainment",https://www.netflix.com/watch/80190929,https://www.imdb.com/title/tt5208216,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,9533.0,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV4MmEq2UTyr5PJfXQXdOjNcjrkV_quj1BqmezagQSH6_dQ19jLgKH951NH2ONi1y74ZgoYX50XQ2K3kL-hUAyRDpw.jpg?r=dcd,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_SX300.jpg,https://www.youtube.com/watch?v=o1vV0oorclg,YouTube
The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies","English, Spanish",Movie,2.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,Tate Taylor,"Erin Cressida Wilson, Paula Hawkins","Haley Bennett, Emily Blunt, Rebecca Ferguson, Justin Theroux",R,6.5,44.0,48.0,4.0,12.0,75395035.0,2016-10-07,2021-02-27,"Sony Classical, Universal Pictures, Reliance Entertainment, Marc Platt Productions",https://www.netflix.com/watch/81144153,https://www.imdb.com/title/tt3631112,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,169614.0,https://occ-0-3607-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb3rZKfaauyN8WT8sbR5ff99IqyKg4vCVWv3UBB1iD9fZ37zoc9V8M0hi2WSyoUiivNzrdtUi5zSwVYReJLQoxgjFrMxCA0S1n2Or9W5VGviAkMMpR6J4NQy3kw.jpg?r=dfd,https://m.media-amazon.com/images/M/MV5BNzFlMjA0ZmUtZWI0Mi00ZGJkLTlmMmYtZmE1ODZiMjhjMGM0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,https://www.youtube.com/watch?v=-CKPj4O5_9s,YouTube
